geo_code_long,GEO_NAME,year,raceth,racethd,immig,sex,racethdimmigsex,phhnocar_acsglyt,nhhnocar_acsglyt,phhrent_acsglyt,pbaplus_acsglyt,pnhw_acsglyt,pnhb_acsglyt,phis_acsglyt,pnhapi_acsglyt,pnaian_acsglyt,pnhoo_acsglyt,ppoc_acsglyt
04000000000005015,"Carroll, AR",2000,All,All,All,All people,All,.0614,626,.2698,.1385,.8774,.0010,.0974,.0044,.0082,.0115,.1226
04000000000005017,"Chicot, AR",2000,All,All,All,All people,All,.2038,1061,.3037,.1168,.4236,.5342,.0288,.0040,.0011,.0082,.5764
04000000000005019,"Clark, AR",2000,All,All,All,All people,All,.1149,1023,.3436,.1981,.7348,.2194,.0240,.0065,.0041,.0111,.2652
04000000000005021,"Clay, AR",2000,All,All,All,All people,All,.0894,663,.2509,.0739,.9755,.0016,.0080,.0008,.0064,.0077,.0245
04000000000005023,"Cleburne, AR",2000,All,All,All,All people,All,.0640,652,.1940,.1389,.9728,.0012,.0117,.0017,.0042,.0083,.0272
04000000000005025,"Cleveland, AR",2000,All,All,All,All people,All,.0731,240,.1777,.1001,.8399,.1311,.0162,.0015,.0030,.0082,.1601
04000000000005027,"Columbia, AR",2000,All,All,All,All people,All,.1151,1148,.2872,.1680,.6162,.3595,.0105,.0036,.0024,.0077,.3838
04000000000005029,"Conway, AR",2000,All,All,All,All people,All,.0639,508,.2197,.1153,.8346,.1303,.0177,.0026,.0039,.0109,.1654
04000000000005031,"Craighead, AR",2000,All,All,All,All people,All,.0611,1974,.3607,.2095,.8824,.0772,.0212,.0060,.0031,.0100,.1176
04000000000005033,"Crawford, AR",2000,All,All,All,All people,All,.0594,1169,.2412,.0969,.9073,.0087,.0327,.0118,.0195,.0199,.0927
04000000000005035,"Crittenden, AR",2000,All,All,All,All people,All,.1408,2600,.3970,.1277,.5041,.4684,.0142,.0049,.0024,.0060,.4959
