fips,median_household_income
26129,"38,220"
26131,"37,208"
26133,"41,268"
26135,"39,253"
26137,"51,814"
26139,"68,816"
26141,"43,244"
26143,"40,306"
26145,"45,433"
26147,"56,671"
26149,"50,854"
26151,"47,287"
26153,"41,973"
26155,"53,055"
26157,"47,357"
26159,"52,114"
26161,"70,509"
26163,"45,182"
26165,"46,072"
27001,"44,344"
27003,"79,097"
27005,"54,502"
27007,"47,336"
27009,"58,572"
27011,"48,553"
27013,"56,137"
27015,"57,742"
27017,"60,740"
27019,"102,511"
27021,"51,884"
27023,"60,039"
27025,"82,118"
27027,"60,213"
27029,"48,115"
27031,"51,146"
27033,"48,976"
27035,"54,065"
27037,"81,004"
27039,"70,431"
27041,"62,809"
27043,"45,963"
27045,"56,165"
27047,"52,117"
27049,"65,953"
27051,"50,943"
27053,"74,568"
27055,"55,558"
27057,"56,129"
27059,"70,594"
27061,"49,934"
27063,"55,981"
27065,"53,181"
27067,"59,816"
27069,"52,327"
27071,"48,942"
27073,"53,046"
27075,"55,622"
27077,"49,828"
27079,"69,581"
27081,"51,278"
27083,"55,255"
27085,"61,822"
27087,"43,591"
27089,"56,330"
27091,"53,805"
27093,"56,068"
27095,"53,273"
27097,"55,709"
27099,"55,772"
27101,"60,682"
27103,"66,944"
27105,"49,935"
27107,"50,481"
27109,"77,110"
27111,"53,033"
27113,"56,015"
27115,"52,226"
27117,"50,784"
27119,"54,717"
27121,"59,903"
27123,"61,924"
27125,"51,785"
27127,"53,985"
27129,"54,758"
27131,"65,011"
27133,"60,041"
27135,"58,742"
27137,"53,013"
27139,"99,685"
27141,"87,094"
27143,"59,378"
27145,"63,017"
27147,"60,143"
27149,"59,406"
27151,"53,561"
27153,"49,962"
27155,"50,692"
27157,"63,374"
27159,"45,716"
27161,"59,246"
27163,"92,582"
27165,"50,678"
27167,"58,118"
27169,"55,577"
27171,"80,805"
27173,"53,596"
28001,"31,044"
28003,"39,528"
28005,"35,422"
28007,"35,158"
28009,"35,797"
28011,"34,216"
28013,"35,886"
28015,"40,798"
28017,"37,231"
28019,"37,561"
28021,"28,518"
28023,"38,840"
28025,"36,044"
28027,"28,921"
28029,"39,107"
28031,"39,644"
28033,"66,125"
28035,"39,394"
28037,"38,370"
28039,"51,185"
28041,"44,337"
28043,"38,827"
28045,"45,535"
28047,"46,709"
28049,"44,076"
28051,"24,783"
28053,"26,489"
28055,"28,075"
28057,"45,718"
28059,"49,699"
28061,"35,916"
28063,"27,925"
28065,"28,043"
28067,"39,459"
28069,"32,026"
28071,"47,899"
28073,"57,125"
28075,"43,538"
28077,"38,446"
28079,"36,031"
28081,"51,559"
28083,"25,569"
28085,"40,898"
28087,"42,277"
28089,"69,820"
28091,"28,967"
28093,"38,498"
28095,"40,371"
28097,"36,182"
28099,"38,728"
28101,"39,898"
28103,"30,130"
28105,"39,387"
28107,"35,927"
28109,"47,757"
28111,"38,997"
28113,"32,525"
28115,"45,396"
28117,"36,654"
28119,"26,740"
28121,"65,504"
28123,"37,201"
28125,"28,842"
28127,"38,385"
28129,"42,517"
28131,"44,159"
28133,"29,704"
28135,"30,998"
28137,"47,296"
28139,"39,695"
28141,"35,031"
28143,"31,492"
28145,"46,979"
28147,"32,078"
28149,"44,227"
28151,"30,865"
28153,"36,339"
28155,"39,479"
28157,"27,962"
28159,"36,305"
28161,"36,834"
28163,"33,051"
29001,"38,784"
29003,"60,759"
29005,"49,469"
29007,"44,212"
29009,"40,765"
29011,"41,796"
29013,"45,392"
29015,"39,588"
29017,"43,611"
29019,"52,179"
29021,"46,516"
29023,"39,642"
29025,"44,252"
29027,"53,317"
29029,"51,489"
29031,"51,955"
29033,"45,404"
29035,"33,793"
29037,"65,839"
29039,"37,958"
29041,"44,587"
29043,"58,931"
29045,"43,130"
29047,"67,666"
29049,"57,807"
29051,"55,315"
29053,"48,851"
29055,"39,306"
29057,"39,127"
29059,"38,685"
29061,"45,342"
29063,"48,060"
29065,"35,445"
29067,"34,265"
29069,"33,721"
29071,"55,937"
29073,"48,711"
29075,"43,182"
29077,"45,608"
29079,"40,305"
29081,"40,139"
29083,"43,615"
29085,"35,170"
29087,"46,560"
29089,"45,858"
29091,"35,483"
29093,"35,682"
29095,"52,585"
29097,"46,611"
29099,"62,334"
29101,"54,417"
29103,"36,866"
29105,"45,267"
29107,"51,745"
29109,"42,856"
29111,"46,517"
29113,"67,986"
29115,"42,331"
29117,"45,448"
29119,"38,468"
29121,"40,037"
29123,"38,206"
29125,"44,366"
29127,"45,064"
29129,"42,048"
29131,"42,042"
29133,"34,185"
