fips,state,fi_rate,total_fi_people,child_fi_rate,num_fi_children,cost_per_meal,est_annual_food_budget_shortfall,region
12103,FL,14.2,134650,19.9, 31900 ,3.41,78298000.0,S
12105,FL,14.2,92590,21.7, 31900 ,3.12,49346000.0,S
12107,FL,18.7,13560,27.6, 4350 ,3.03,7013000.0,S
12109,FL,11.0,24880,16.6, 8270 ,3.79,16072000.0,S
12111,FL,14.8,44190,21.3, 13100 ,3.18,23944000.0,S
12113,FL,12.6,21040,19.5, 7280 ,3.52,12630000.0,S
12115,FL,11.9,48330,19.0, 11360 ,3.65,30083000.0,S
12117,FL,11.9,53240,17.7, 17080 ,3.32,30200000.0,S
12119,FL,12.1,14160,22.5, 1930 ,3.48,8407000.0,S
12121,FL,16.2,7110,24.9, 2350 ,2.8,3397000.0,S
12123,FL,16.3,3640,21.3, 920 ,2.82,1755000.0,S
12125,FL,17.9,2740,24.0, 700 ,3.17,1483000.0,S
12127,FL,14.3,74230,21.3, 19850 ,3.37,42666000.0,S
12129,FL,13.5,4270,19.0, 1250 ,2.95,2151000.0,S
12131,FL,14.2,9020,23.4, 3030 ,3.84,5907000.0,S
12133,FL,16.7,4090,23.2, 1130 ,2.83,1974000.0,S
13001,GA,14.9,2740,23.4, 1090 ,2.75,1284000.0,S
13003,GA,12.7,1050,24.9, 580 ,2.66,477000.0,S
13005,GA,13.9,1570,23.4, 680 ,2.68,719000.0,S
13007,GA,17.1,560,20.5, 130 ,2.92,279000.0,S
13009,GA,20.9,9520,25.0, 2190 ,2.69,4373000.0,S
13011,GA,9.9,1820,19.2, 820 ,3.01,933000.0,S
13013,GA,10.0,7480,18.5, 3750 ,2.91,3709000.0,S
13015,GA,11.4,11660,19.5, 4990 ,2.82,5612000.0,S
13017,GA,21.0,3630,28.0, 1240 ,2.79,1730000.0,S
13019,GA,14.5,2770,23.1, 1060 ,2.91,1375000.0,S
13021,GA,21.8,33590,25.4, 9750 ,2.91,16658000.0,S
