fips,pop_estimate,percent_white,percent_black,percent_native_american,percent_asian,percent_nhpi,percent_multi,percent_nonwhite_hispanic
16005,84113,89.90,0.60,3.10,1.40,0.20,0.40,0.03
16007,5942,95.20,0.80,0.20,0.70,0.00,0.60,0.03
16009,9050,87.20,0.20,8.90,1.00,0.20,0.60,0.01
16011,45369,83.20,0.30,6.10,0.90,0.00,0.90,0.09
16013,21583,93.60,0.30,0.00,1.10,0.40,0.50,0.04
16015,6968,94.50,0.20,1.40,1.10,0.10,0.70,0.01
16017,41855,95.30,0.20,0.70,0.70,0.10,0.40,0.01
16019,110404,89.30,0.50,0.40,0.90,0.20,0.40,0.07
16021,11323,94.00,0.20,1.40,0.50,0.40,1.20,0.02
16023,2613,96.40,2.50,0.00,0.00,0.00,0.50,0.01
16025,886,95.90,0.00,0.00,0.00,0.00,0.50,0.04
16027,207027,87.30,0.50,1.00,0.80,0.20,0.40,0.09
16029,6862,96.90,0.00,0.10,0.10,0.00,1.20,0.02
16031,23472,94.20,0.10,1.00,0.60,0.10,0.60,0.03
16033,1055,86.50,0.20,5.70,0.00,0.00,2.60,0.07
16035,8533,93.50,0.20,2.20,0.50,0.40,0.60,0.01
16037,4141,95.10,0.00,1.20,0.00,0.00,1.50,0.01
16039,26232,86.80,2.90,1.70,3.10,0.30,0.90,0.03
16041,13120,96.60,0.30,0.60,0.00,0.10,0.50,0.01
16043,12889,93.60,0.20,0.30,0.10,0.20,1.10,0.04
16045,16850,92.00,0.00,1.20,0.70,0.00,0.90,0.04
16047,15110,89.80,0.10,1.20,0.50,0.20,1.40,0.07
16049,16275,93.40,0.20,3.20,0.30,0.10,0.60,0.01
16051,27410,90.70,0.10,0.30,0.30,0.20,0.90,0.07
16053,23039,95.20,0.10,0.40,0.40,0.30,0.50,0.02
16055,150128,94.30,0.40,1.40,0.70,0.10,0.30,0.01
16057,38697,92.50,0.70,0.90,2.70,0.00,0.50,0.01
16059,7755,95.80,0.20,0.70,0.20,0.00,0.80,0.01
16061,3824,88.00,0.10,7.40,0.80,0.00,0.90,0.02
16063,5296,93.50,0.00,0.50,0.20,0.00,1.20,0.04
16065,38241,93.70,0.60,0.00,1.10,0.10,0.50,0.02
16067,20448,94.30,0.30,0.60,0.40,0.10,0.50,0.03
16069,40014,89.90,0.40,5.70,0.90,0.10,0.50,0.01
16071,4284,97.20,0.10,0.40,0.00,0.00,0.90,0.01
16073,11384,85.70,0.10,3.40,0.20,0.00,0.90,0.09
16075,22839,90.90,0.40,0.80,0.70,0.00,1.00,0.05
16077,7667,80.30,0.30,4.00,0.00,0.00,0.80,0.15
16079,12490,94.20,0.30,2.20,0.50,0.00,0.80,0.01
16081,10776,89.30,0.20,0.20,0.10,0.00,0.60,0.09
16083,82248,92.60,0.70,1.10,1.80,0.10,0.30,0.03
16085,10104,99.10,0.10,0.20,0.10,0.00,0.40,0.00
16087,9996,88.00,0.00,0.80,1.00,0.00,0.90,0.08
17001,66787,93.10,4.00,0.30,0.80,0.10,0.40,0.00
17003,6776,62.20,34.60,0.60,0.20,0.00,1.20,0.01
17005,17034,90.80,6.10,0.30,1.20,0.00,0.50,0.01
17007,53638,87.80,2.30,0.30,1.20,0.00,0.70,0.07
17009,6791,76.50,21.50,0.00,0.60,0.00,1.10,0.01
17011,33619,93.80,0.80,0.10,0.80,0.00,0.40,0.03
17013,4897,97.40,0.30,0.10,0.90,0.00,0.90,0.00
17015,14704,95.80,1.30,0.10,0.70,0.00,0.40,0.01
17017,12880,90.80,4.60,0.00,0.30,0.30,0.40,0.04
17019,207946,72.70,13.10,0.20,10.30,0.10,0.40,0.01
17021,33562,96.60,1.70,0.30,0.60,0.10,0.40,0.00
17023,15924,97.00,0.30,0.10,0.50,0.00,0.30,0.01
17025,13393,97.80,0.70,0.10,0.70,0.00,0.30,0.00
17027,37640,93.80,3.60,0.30,0.60,0.00,0.30,0.01
17029,52540,92.70,3.80,0.20,1.20,0.20,0.40,0.01
17031,5238541,56.60,23.70,0.30,7.00,0.00,0.10,0.11
17033,19214,93.40,4.20,0.10,0.40,0.00,0.70,0.01
17035,10899,97.80,0.10,0.20,0.30,0.10,0.70,0.00
17037,104473,84.30,7.40,0.10,2.40,0.00,0.30,0.04
17039,16176,90.30,0.50,0.20,0.10,0.20,1.90,0.01
17041,19830,96.30,0.30,0.50,0.70,0.10,0.50,0.01
17043,931826,78.30,4.70,0.20,11.40,0.00,0.20,0.04
17045,17603,98.10,0.60,0.20,0.40,0.00,0.30,0.00
17047,6570,97.30,0.50,0.00,0.90,0.00,0.70,0.01
17049,34164,97.30,0.60,0.10,0.20,0.00,0.30,0.01
17051,21980,93.20,5.20,0.30,0.50,0.00,0.40,0.00
17053,13470,96.70,0.90,0.40,0.50,0.00,0.40,0.01
17055,39302,97.10,0.70,0.30,0.50,0.10,0.20,0.01
17057,35733,94.30,3.80,0.20,0.20,0.10,0.30,0.01
17059,5226,97.00,0.30,0.50,0.30,0.00,0.80,0.00
17061,13311,97.10,1.30,0.20,0.20,0.00,0.40,0.00
17063,50333,94.10,1.50,0.10,0.80,0.00,0.40,0.02
17065,8259,99.20,0.60,0.10,0.10,0.00,0.30,0.00
17067,18264,97.50,0.70,0.00,0.40,0.00,0.40,0.00
17069,4161,93.90,3.80,0.20,0.10,0.00,1.50,0.01
17071,6927,97.30,0.10,0.30,0.70,0.00,0.80,0.01
17073,49649,93.70,1.80,0.10,0.60,0.00,0.50,0.03
17075,28457,93.30,1.20,0.00,0.40,0.00,0.30,0.04
17077,59115,76.90,14.70,0.40,3.40,0.00,0.70,0.02
17079,9608,98.60,0.40,0.10,0.00,0.00,0.10,0.00
17081,38358,87.60,8.50,0.10,1.10,0.00,0.50,0.01
17083,22215,96.80,0.50,0.10,0.40,0.10,0.60,0.01
17085,22046,97.60,0.40,0.20,0.50,0.10,0.30,0.00
17087,12899,87.60,11.30,0.10,0.20,0.00,0.30,0.00
17089,529402,72.10,5.60,0.40,3.90,0.00,0.30,0.17
17091,110801,79.80,15.20,0.30,1.00,0.00,0.30,0.02
17093,122933,82.60,6.80,0.10,3.20,0.00,0.70,0.06
17095,51374,86.20,8.90,0.30,1.00,0.00,0.30,0.03
17097,704476,78.40,6.80,0.20,7.20,0.10,0.20,0.06
