fips,median_household_income
41065,49735
41067,80845
41069,40047
41071,62759
42001,62997
42003,58547
42005,46227
42007,54739
42009,47760
42011,61022
42013,46072
42015,47457
42017,84784
42019,68709
42021,46007
42023,41335
42025,51395
42027,56366
42029,96803
42031,45657
42033,47818
42035,45036
42037,51302
42039,49044
42041,69222
42043,61229
42045,73637
42047,51711
42049,50419
42051,42892
42053,40564
42055,60077
42057,50716
42059,48590
42061,49655
42063,46084
42065,43911
42067,48334
42069,49082
42071,63402
42073,48666
42075,57389
42077,60706
42079,50982
42081,50292
42083,45031
42085,46851
42087,50449
42089,61296
42091,87338
42093,62595
42095,65872
42097,45352
42099,61225
42101,40193
42103,67317
42105,41309
42107,49360
42109,54336
42111,47950
42113,43800
42115,50612
42117,47500
42119,58310
42121,47593
42123,49788
42125,60332
42127,49985
42129,60308
42131,55820
42133,63493
44001,72614
44003,72765
44005,77186
44007,55848
44009,78599
45001,41118
45003,51583
45005,28135
45007,48846
45009,32693
45011,36568
45013,60319
45015,57399
45017,45149
45019,60144
