fips,retail_soda_sales_14_tax_rate,vending_soda_sales_14_tax_rate,retail_chips_pretzels_14_tax_rate,vending_chips_pretzels_14_tax_rate,general_food_tax_rate
13085,0.0,4.0,0.0,4.0,0.0
13087,0.0,4.0,0.0,4.0,0.0
13089,0.0,4.0,0.0,4.0,0.0
13091,0.0,4.0,0.0,4.0,0.0
13093,0.0,4.0,0.0,4.0,0.0
13095,0.0,4.0,0.0,4.0,0.0
13097,0.0,4.0,0.0,4.0,0.0
13099,0.0,4.0,0.0,4.0,0.0
13101,0.0,4.0,0.0,4.0,0.0
13103,0.0,4.0,0.0,4.0,0.0
13105,0.0,4.0,0.0,4.0,0.0
13107,0.0,4.0,0.0,4.0,0.0
13109,0.0,4.0,0.0,4.0,0.0
13111,0.0,4.0,0.0,4.0,0.0
13113,0.0,4.0,0.0,4.0,0.0
13115,0.0,4.0,0.0,4.0,0.0
13117,0.0,4.0,0.0,4.0,0.0
13119,0.0,4.0,0.0,4.0,0.0
13121,0.0,4.0,0.0,4.0,0.0
13123,0.0,4.0,0.0,4.0,0.0
13125,0.0,4.0,0.0,4.0,0.0
13127,0.0,4.0,0.0,4.0,0.0
13129,0.0,4.0,0.0,4.0,0.0
13131,0.0,4.0,0.0,4.0,0.0
13133,0.0,4.0,0.0,4.0,0.0
13135,0.0,4.0,0.0,4.0,0.0
13137,0.0,4.0,0.0,4.0,0.0
13139,0.0,4.0,0.0,4.0,0.0
13141,0.0,4.0,0.0,4.0,0.0
13143,0.0,4.0,0.0,4.0,0.0
13145,0.0,4.0,0.0,4.0,0.0
13147,0.0,4.0,0.0,4.0,0.0
13149,0.0,4.0,0.0,4.0,0.0
13151,0.0,4.0,0.0,4.0,0.0
13153,0.0,4.0,0.0,4.0,0.0
13155,0.0,4.0,0.0,4.0,0.0
13157,0.0,4.0,0.0,4.0,0.0
13159,0.0,4.0,0.0,4.0,0.0
13161,0.0,4.0,0.0,4.0,0.0
13163,0.0,4.0,0.0,4.0,0.0
13165,0.0,4.0,0.0,4.0,0.0
13167,0.0,4.0,0.0,4.0,0.0
13169,0.0,4.0,0.0,4.0,0.0
13171,0.0,4.0,0.0,4.0,0.0
13173,0.0,4.0,0.0,4.0,0.0
13175,0.0,4.0,0.0,4.0,0.0
13177,0.0,4.0,0.0,4.0,0.0
13179,0.0,4.0,0.0,4.0,0.0
13181,0.0,4.0,0.0,4.0,0.0
13183,0.0,4.0,0.0,4.0,0.0
13185,0.0,4.0,0.0,4.0,0.0
13187,0.0,4.0,0.0,4.0,0.0
13189,0.0,4.0,0.0,4.0,0.0
13191,0.0,4.0,0.0,4.0,0.0
13193,0.0,4.0,0.0,4.0,0.0
13195,0.0,4.0,0.0,4.0,0.0
13197,0.0,4.0,0.0,4.0,0.0
13199,0.0,4.0,0.0,4.0,0.0
13201,0.0,4.0,0.0,4.0,0.0
13205,0.0,4.0,0.0,4.0,0.0
13207,0.0,4.0,0.0,4.0,0.0
13209,0.0,4.0,0.0,4.0,0.0
13211,0.0,4.0,0.0,4.0,0.0
13213,0.0,4.0,0.0,4.0,0.0
13215,0.0,4.0,0.0,4.0,0.0
13217,0.0,4.0,0.0,4.0,0.0
13219,0.0,4.0,0.0,4.0,0.0
13221,0.0,4.0,0.0,4.0,0.0
13223,0.0,4.0,0.0,4.0,0.0
13225,0.0,4.0,0.0,4.0,0.0
13227,0.0,4.0,0.0,4.0,0.0
13229,0.0,4.0,0.0,4.0,0.0
13231,0.0,4.0,0.0,4.0,0.0
13233,0.0,4.0,0.0,4.0,0.0
13235,0.0,4.0,0.0,4.0,0.0
13237,0.0,4.0,0.0,4.0,0.0
13239,0.0,4.0,0.0,4.0,0.0
13241,0.0,4.0,0.0,4.0,0.0
13243,0.0,4.0,0.0,4.0,0.0
13245,0.0,4.0,0.0,4.0,0.0
13247,0.0,4.0,0.0,4.0,0.0
13249,0.0,4.0,0.0,4.0,0.0
13251,0.0,4.0,0.0,4.0,0.0
13253,0.0,4.0,0.0,4.0,0.0
13255,0.0,4.0,0.0,4.0,0.0
13257,0.0,4.0,0.0,4.0,0.0
13259,0.0,4.0,0.0,4.0,0.0
13261,0.0,4.0,0.0,4.0,0.0
13263,0.0,4.0,0.0,4.0,0.0
13265,0.0,4.0,0.0,4.0,0.0
13267,0.0,4.0,0.0,4.0,0.0
13269,0.0,4.0,0.0,4.0,0.0
13271,0.0,4.0,0.0,4.0,0.0
13273,0.0,4.0,0.0,4.0,0.0
13275,0.0,4.0,0.0,4.0,0.0
13277,0.0,4.0,0.0,4.0,0.0
13279,0.0,4.0,0.0,4.0,0.0
13281,0.0,4.0,0.0,4.0,0.0
13283,0.0,4.0,0.0,4.0,0.0
13285,0.0,4.0,0.0,4.0,0.0
13287,0.0,4.0,0.0,4.0,0.0
13289,0.0,4.0,0.0,4.0,0.0
13291,0.0,4.0,0.0,4.0,0.0
13293,0.0,4.0,0.0,4.0,0.0
13295,0.0,4.0,0.0,4.0,0.0
13297,0.0,4.0,0.0,4.0,0.0
13299,0.0,4.0,0.0,4.0,0.0
13301,0.0,4.0,0.0,4.0,0.0
13303,0.0,4.0,0.0,4.0,0.0
13305,0.0,4.0,0.0,4.0,0.0
13307,0.0,4.0,0.0,4.0,0.0
13309,0.0,4.0,0.0,4.0,0.0
13311,0.0,4.0,0.0,4.0,0.0
13313,0.0,4.0,0.0,4.0,0.0
13315,0.0,4.0,0.0,4.0,0.0
13317,0.0,4.0,0.0,4.0,0.0
